Question,Answer
Do you speak German?,Yes
How many years of work experience do you have with SQL?,5
Do you speak English?,Yes
How many years of work experience do you have with Python (Programming Language)?,3
How many years of work experience do you have with C (Programming Language)?,1
How many years of work experience do you have with JavaScript?,10
How many years of work experience do you have with Linux?,1
How many years of work experience do you have with Java?,0
Have you completed the following level of education: Bachelor's Degree?,Yes
How many years of work experience do you have with C++?,1
